# Кодер, Камера, Сетевой адрес, Местонахождение, Номер, Аудио,Настройки PTZ Активирован,Настройки PTZ Порт,Настройки PTZ Протокол,Настройки PTZ Адрес PTZ
Доки_20-24 (50.154),Доки_20-24 (50.154) (60517),172.16.50.154,Фасад,24,,False,COM1,,1
Забор_1_на_вх_АБК4(50.225) (701,Забор_1_на_вх_АБК4(50.225) (70132),172.16.50.225,Забор,54,,False,COM1,,1
Забор_2_уголзасклад (50.223),Забор_2_от угла за склад (50.223) (70129),172.16.50.223,Забор,52,,False,COM1,,1
Забор_3_угол на пер3 (50.224),Забор_3_от_уг на перим (50.224),172.16.50.224,Забор,18,,False,COM1,,1
Забор (50.222),Забор_4_на стоянку (50.222),172.16.50.222,Забор,26,,False,COM1,,1
Забор_5_на стоянку (50.156),Забор_5_на стоянку (50.156),172.16.50.156,Забор,28,,False,COM1,,1
Забор_6_от угл на прм1(50.216),Забор_6_от угла на перим1 (50.216) (79124),172.16.50.216,Забор,46,,False,COM1,,1
Забор_7_от угла на КПП (50.219),Забор_7_от угла на КПП (50.219) (70123),172.16.50.219,Забор,45,,False,COM1,,1
КПП_вьезд (50.217),КПП_въезд (50.217) (70121),172.16.50.217,КПП,47,,False,COM1,,1
КПП_выезд (50.218),КПП_выезд (50.218) (70122),172.16.50.218,КПП,48,,False,COM1,,1
КПП_пом.охр (51.15),КПП_пом.охр (51.15) (70131),172.16.51.15,КПП,55,,False,COM1,,1
КПП_турникет (51.7),КПП_турникет (51.7) (70130),172.16.51.7,КПП,56,,False,COM1,,1
Подмез_17_Зона_отгрузки (50.98),Подмез_17_Зона_отгрузки (50.98),172.16.50.98,Подмезонин,16,,False,COM1,,1
Ряд_107-108_тыл (50.55),Ряд_107-108_тыл (50.55) (40205),172.16.50.55,Ряды,12,,False,COM1,,1
Ряд_109-110_тыл (50.77),Ряд_109-110_тыл (50.77) (40204),172.16.50.77,Ряды,21,,False,COM1,,1
Ряд_111-112_тыл (50.75),Ряд_111-112_тыл (50.75) (40203),172.16.50.75,Ряды,19,,False,COM1,,1
Склад_отгрузка1_с колоны на аку,Склад_отгрузка1_с колоны на акум (50.134),172.16.50.134,Ряды,17,,False,COM1,,1
Склад_отгрузка2_на вор.22-20,Склад_отгрузка2_на вор.22-20 (50.167),172.16.50.167,Ряды,22,,False,COM1,,1
Склад_отгрузка3_на акум (50.76),Склад_отгрузка3_на акум (50.76),172.16.50.76,Ряды,23,,False,COM1,,1
Стоянка_груз.АТ_1 (51.133),Стоянка_груз.АТ_1 (51.133),172.16.51.133,Фасад,5,,False,COM1,,1
Стоянка_груз.АТ_2 (50.142),Стоянка_груз.АТ_2 (50.142),172.16.50.142,Фасад,20,,False,COM1,,1
Фасад_п_1_к тылу_от ангара,Фасад_п_1_к тылу_от ангара (50.149) (60504),172.16.50.149,Фасад,25,,False,COM1,,1
Фасад_п_2_к тылу_от центра,Фасад_п_2_к тылу_от центра (50.153) (40212),172.16.50.153,Фасад,7,,False,COM1,,1
Фасад_п_3_от центр.к ангару (50.152),Фасад_п_3_от центр.к ангару (50.152) (40211),172.16.50.152,Фасад,8,,False,COM1,,1
Фасад_т_6_от угла (50.125),Фасад_т_6_от угла (50.125) (40206),172.16.50.125,Фасад,9,,False,COM1,,1
Фасад_ф_4 (ворота ангар) (50.15,Фасад_ф_4 (ворота ангар) (50.151) (60503),172.16.50.151,Фасад,10,,False,COM1,,1
Фасад_ф_8_на КПП (50.150),Фасад_ф_8_на КПП (50.150) (60502),172.16.50.150,Фасад,11,,False,COM1,,1
АБК3_1эт_вход_в_абк (50.228),АБК3_1эт_вход_в_абк (50.228),172.16.50.228,АБК,26,,False,COM1,,1
АБК3_1эт_п.135 (51.4),АБК3_1эт_п.135 (51.4),172.16.51.4,АБК,27,,False,COM1,,1
АБК3_1эт_пост (50.131),АБК3_1эт_пост (50.131),172.16.50.131,АБК,28,,False,COM1,,1
АБК3_2эт_п.219 (51.2),АБК3_2эт_п.219 (51.2),172.16.51.2,АБК,29,,False,COM1,,1
АБК3_2эт_п.225 (51.17),АБК3_2эт_п.225 (51.17),172.16.51.17,АБК,30,,False,COM1,,1
АБК3_4эт_офисы_1 (50.164),АБК3_4эт_офисы_1 (50.164),172.16.50.164,АБК,31,,False,COM1,,1
АБК3_4эт_офисы_2 (50.162),АБК3_4эт_офисы_2 (50.162),172.16.50.162,АБК,32,,False,COM1,,1
АБК3_4эт_офисы_3 (50.163),АБК3_4эт_офисы_3 (50.163),172.16.50.163,АБК,33,,False,COM1,,1
АБК3_4эт_офисы_4 (51.132),АБК3_4эт_офисы_4 (51.132),172.16.51.132,АБК,14,,False,COM1,,1
АБК3_Стоянка (50.220),АБК3_Стоянка (50.220),172.16.50.220,АБК,34,,False,COM1,,1
АБК4_1эт_пост (51.12),АБК4_1эт_пост (51.12),172.16.51.12,АБК,35,,False,COM1,,1
АБК4_2эт (50.83),АБК4_2эт (50.83),172.16.50.83,АБК,36,,False,COM1,,1
АБК4_3эт (50.118),АБК4_3эт (50.118),172.16.50.118,АБК,37,,False,COM1,,1
АБК4_4эт (51.200),АБК4_4эт (51.200),172.16.51.200,АБК,21,,False,COM1,,1
АБК4_4эт_каб451(51.37),АБК4_4эт_каб451 (172.16.51.37),172.16.51.37,АБК,39,,False,COM1,,1
АБК4_выход на крышу (50.230),АБК4_выход на крышу (50.230),172.16.50.230,АБК,38,,False,COM1,,1
Ворота_21 (50.234),Ворота_21 (50.234) (11044),172.16.50.234,Ворота,13,,False,COM1,,1
Ворота_22 (50.54),Ворота_22 (50.54) (11045),172.16.50.54,Ворота,61,,False,COM1,,1
Ворота_23 (50.109),Ворота_23 (50.109) (11046),172.16.50.109,Ворота,41,,False,COM1,,1
Ворота_24 (50.137),Ворота_24 (50.137) (11047),172.16.50.137,Ворота,62,,False,COM1,,1
Забор 10 середина забор на охра,Забор 10 середина забор на охрану (50.148),172.16.50.148,Забор,23,,False,COM1,,1
Забор 11 середина забора вдоль ,Забор 11 середина забора вдоль забора (50.155),172.16.50.155,Забор,22,,False,COM1,,1
Забор 12 дальний угол вдоль заб,Забор 12 дальний угол вдоль забора (50.140),172.16.50.140,Забор,4,,False,COM1,,1
Забор 13 дальний угол вдоль фас,Забор 13 дальний угол вдоль фасада (50.158),172.16.50.158,Забор,11,,False,COM1,,1
Забор 8 угол охрана на стоянку ,Забор 8 угол охрана на стоянку (50.160),172.16.50.160,Забор,25,,False,COM1,,1
